Frame,Shadow Mapping,Collision Detection TFB,Visuals,Particle Simulation
1000,37888,15360,58368,5320704
1001,37888,16384,59392,5305344
1002,36864,16384,58368,5316608
1003,36864,16352,57344,5285888
1004,37888,16384,57344,5317632
1005,36864,16384,57344,5295104
1006,36864,15360,57344,5317632
1007,37888,16384,58368,5312512
1008,36864,15360,58368,5335040
1009,36864,16384,325632,5306368
1010,37888,15360,58368,5287936
1011,37888,16384,58368,5331968
1012,37888,16384,56320,5320704
1013,36864,15360,57344,5310464
1014,36864,16384,59392,5274624
1015,37888,15360,58368,5237760
1016,36864,16384,60416,5311488
1017,36864,15360,58368,5310464
1018,37888,16384,59392,5278720
1019,37888,16384,58368,5293056
1020,36864,16384,56320,5487616
1021,36864,16384,56320,5283840
1022,37888,15360,58368,5315584
1023,36864,15392,618496,5295072
1024,37888,15360,606208,5301248
1025,37888,15360,616448,5323776
1026,37888,15360,655360,5283840
1027,37888,15360,627712,5275648
1028,37888,15360,620544,5293056
1029,36864,15360,58368,5741568
1030,37888,15360,536576,5276672
1031,36864,16384,613376,4808704
1032,36864,16384,57344,5213184
1033,36864,15360,57344,4799488
1034,37856,15360,59392,4760576
1035,37888,16384,58368,4828160
1036,36864,16384,59392,4753408
1037,37888,15360,58368,4766720
1038,36864,16384,57344,4763648
1039,37888,15360,57344,4794368
1040,37888,15360,57344,4774912
1041,37888,16384,57344,4744192
1042,36864,15360,57344,4670464
1043,37888,15360,58400,4721664
1044,37888,15360,56320,4684800
1045,36864,15360,58368,4710400
1046,36864,16384,58368,5104640
1047,36864,16384,58368,4697088
1048,37888,16384,58368,4731904
1049,36864,16384,59392,4737024
1050,37888,15360,59392,4736000
1051,37888,15360,59392,4750336
1052,36864,16384,58368,4688896
1053,37888,15360,57344,4749312
1054,36864,16384,57344,4684768
1055,37888,16384,57344,4660224
1056,37888,15360,58368,4721664
1057,36864,15360,58368,4690944
1058,37888,15360,57344,4677632
1059,37888,15360,624640,4716544
1060,36864,15360,57344,4703264
1061,36864,15360,57344,4745216
1062,37888,16384,58368,4674528
1063,36864,16384,57344,4662272
1064,37888,15360,57344,4680704
1065,37888,16384,58368,4697088
1066,37888,15360,57344,4714496
1067,37888,15360,57344,4669440
1068,36864,16352,58368,4588544
1069,37888,15360,58368,4686848
1070,37888,16384,58368,4655104
1071,37888,15360,59392,4666368
1072,37888,16384,58368,4588544
1073,36864,15360,57344,4678656
1074,37888,16384,57344,4665344
1075,36864,15360,57344,4697088
1076,37888,15360,58336,4647936
1077,36864,15360,57344,4686848
1078,37888,16384,57344,4647936
1079,36896,15360,57344,4685824
1080,36864,15360,58368,4667392
1081,37888,16384,57344,4689920
1082,36864,15392,58368,4682752
1083,37888,16384,58368,4707328
1084,37888,16384,57344,4661248
1085,37888,15360,57344,4675584
1086,37888,551936,57344,4666368
1087,36864,16384,58368,4700160
1088,37888,16384,57344,4697088
1089,36864,16384,57344,4704256
1090,37888,15360,57376,4682784
1091,36864,16384,58368,4680704
1092,37888,15360,57344,4684800
1093,37888,15360,59392,4703232
1094,37888,15360,409600,4679680
1095,37888,16384,409600,4682752
1096,36864,15360,56320,4852736
1097,37888,15360,537568,4703232
1098,36864,15360,56320,4668416
1099,37888,16384,59392,4682752
1100,37888,15360,58368,4953088
1101,36864,16384,57344,5574656
1102,37888,15360,56320,4868096
1103,36864,16384,414720,4690944
1104,37888,15360,558080,4642816
1105,36864,15360,57344,4699136
1106,36864,16384,562176,4670464
1107,37888,16384,57344,5514240
1108,36864,16384,616448,4687872
1109,36864,15360,59392,4681728
1110,37888,16352,57344,4617216
1111,36864,15392,56320,4954112
1112,36864,16384,386048,4671488
1113,37888,15360,59392,4691968
1114,36864,15360,58368,4652032
1115,37888,15360,544768,4670464
1116,37888,16384,321504,4622336
1117,36864,15360,537600,4655104
1118,37888,16384,616448,4631552
1119,37888,16384,57344,4896768
1120,37888,15360,379904,4615168
1121,37888,15360,557056,4642816
1122,37888,15360,537600,4632576
1123,37888,15392,57344,4117504
1124,37888,16384,57344,4099072
1125,36864,15360,58368,4140032
1126,37888,16384,59392,4098048
1127,37888,16384,58368,4092960
1128,37888,15360,57344,4052992
1129,36864,15360,58368,4082688
1130,36864,15360,326656,4124672
1131,37888,15360,57344,4117504
1132,37888,15360,58368,4064256
1133,36864,16384,58368,4046848
1134,37888,16384,59424,4076544
1135,36864,15360,58368,4111360
1136,36864,16384,57344,4087808
1137,37888,15360,58368,4088832
1138,37888,15360,58336,4063232
1139,36864,15360,58368,4046848
1140,37888,15360,57344,4099072
1141,36864,15360,57344,4089856
1142,36864,15360,57344,4135936
1143,37888,16384,57344,4080640
1144,37888,15360,59392,4082688
1145,37888,16384,57344,4137984
1146,37888,16384,58400,4162560
1147,37888,15360,57344,4122624
1148,36864,15360,58368,4126720
1149,37888,15360,58368,4118528
