Frame,Shadow Mapping,Collision Detection TFB,Visuals,Particle Simulation
1000,71456,14848,126432,5100224
1001,71360,14976,110048,5002496
1002,71040,14752,111872,5016640
1003,71104,15040,111872,5006048
1004,70624,15744,113504,4993632
1005,71584,14944,111904,4997728
1006,71392,14880,111808,4998208
1007,73248,15136,110048,5105824
1008,71456,15008,112960,5005440
1009,71040,15360,110976,5010368
1010,71616,15136,118592,5004992
1011,71264,15264,114592,4999616
1012,71776,15264,125376,5094304
1013,71008,15072,113376,5099520
1014,71168,15008,112736,5014176
1015,71648,15648,112064,5002272
1016,71168,15232,119200,5099776
1017,71008,15168,118656,5006048
1018,70560,15232,110848,4999680
1019,72032,15072,109312,5010112
1020,70688,14976,115488,5105536
1021,71360,15072,110688,5008640
1022,71040,15840,110784,4999328
1023,71072,14816,109184,4997984
1024,71168,14912,119712,5108480
1025,71840,15200,111136,5003200
1026,71232,15008,111232,5003072
1027,71296,15392,112896,5013376
1028,71936,15104,112096,5005024
1029,71104,14976,118560,5010272
1030,71616,14880,110912,5103680
1031,71552,14976,127040,5100544
1032,71424,15168,121632,4990912
1033,71296,15520,127200,5078400
1034,70560,15072,113792,4963744
1035,70880,15168,127776,5039584
1036,71072,15552,109568,5025760
1037,70848,14944,126624,5025088
1038,70944,14976,111936,4923328
1039,71232,15136,110784,4899488
1040,71936,14976,111552,4884832
1041,71424,15136,118784,4878144
1042,71392,15360,111296,4969216
1043,71840,14784,123520,4980832
1044,70944,15392,110400,4870912
1045,71776,15328,109536,4892704
1046,72192,15232,114944,4912672
1047,71968,15328,111264,4907648
1048,70656,15488,111968,4904512
1049,70496,15200,111008,4937120
1050,72352,15520,114112,4952512
1051,72128,15552,115136,4950624
1052,71584,15296,116384,4985376
1053,71520,15200,125280,5095328
1054,71328,15200,112864,5000160
1055,72128,15168,126016,5117632
1056,71328,14976,111296,5049728
1057,71104,15584,113216,5044768
1058,72128,15104,110592,5051840
1059,71296,15168,113472,5083840
1060,71200,16032,124064,5188992
1061,70976,14880,123968,5188736
1062,71904,15424,112320,5121984
1063,71296,15168,116128,5238272
1064,71200,15200,119904,5239328
1065,71968,15360,112192,5540768
1066,71072,15296,112576,5596512
1067,71232,15552,112064,5604256
1068,70816,15136,113152,5605312
1069,72352,15520,113728,5606208
1070,71456,15040,118560,5607392
1071,71360,15424,110240,5605632
1072,70976,15168,111840,5612928
1073,70656,14944,111520,5603456
1074,71552,15168,125920,5704864
1075,70688,14880,117536,5704384
1076,71264,15008,113824,5612192
1077,71808,14976,119744,5709632
1078,71968,15072,112352,5611040
1079,71648,15200,111456,5709184
1080,70336,15296,118304,5708096
1081,71200,14848,109664,5614176
1082,72320,15136,110176,5608096
1083,72064,15072,111904,5615136
1084,72128,15072,113600,5616800
1085,71296,15168,124416,5711968
1086,71264,14976,111360,5616640
1087,72256,15552,111552,5612896
1088,72704,15136,110240,5614592
1089,70976,14848,115488,5611328
1090,71392,15168,112192,5612256
1091,71648,15648,110464,5601184
1092,71712,15136,113152,5600128
1093,72096,14944,113216,5610112
1094,71168,14880,123200,5710944
1095,71904,14784,117920,5697856
1096,71200,15296,116224,5696288
1097,71648,15520,128352,5695808
1098,71264,14944,115232,5693120
1099,71776,15392,111328,5612800
1100,71264,15104,111296,5608576
1101,71392,15104,109664,5612416
1102,71776,15168,112192,5602016
1103,71136,14944,120512,5709696
1104,71136,14880,117184,5620288
1105,71232,15072,118688,5699648
1106,71328,15360,109984,5604416
1107,70688,14912,113056,5601600
1108,71936,15104,110848,5610624
1109,71360,16192,110464,5617664
1110,71392,14912,113408,5604832
1111,72480,15360,120640,5981088
1112,71040,15040,114496,5703712
1113,71968,15104,111520,5622912
1114,71360,15072,120800,5691744
1115,72064,14880,110496,5704832
1116,70976,15328,110016,5607712
