Frame,Shadow Mapping,Collision Detection TFB,Visuals,Particle Simulation
1000,71584,15072,112704,7458336
1001,72160,14976,113824,7456608
1002,72096,14880,113376,7454592
1003,72064,15232,116320,7649184
1004,72064,14752,115104,7428896
1005,71392,16512,113984,7416576
1006,72416,15200,131072,7444352
1007,71648,15040,127552,7652512
1008,71424,14944,124736,7455776
1009,71936,15136,115296,7427392
1010,72192,15200,125472,7430976
1011,71008,15328,132864,7431040
1012,72288,15424,127648,7640512
1013,71904,15520,113696,7425344
1014,71776,15200,114176,7641856
1015,71680,15328,130112,7428960
1016,70976,15104,126912,7439552
1017,72096,15296,123424,7418976
1018,72032,17344,129088,7639104
1019,72832,15008,126112,7416064
1020,71296,15328,123040,7416896
1021,71936,15328,114656,7424640
1022,71936,15328,127968,7432352
1023,71360,15008,115648,7424512
1024,70816,15104,114848,7424864
1025,71840,15328,129952,7632512
1026,71968,15328,130112,7418592
1027,69568,15648,129568,7416448
1028,70848,15072,130272,7429472
1029,72000,15840,131520,7427680
1030,72320,16800,118592,7425440
1031,72704,14944,130944,7420160
1032,71424,14784,116800,7637856
1033,71680,14912,120928,7422848
1034,72128,14752,112960,7421792
1035,71808,15136,130016,7430144
1036,72160,16896,113120,7433888
1037,71968,16544,115680,7439232
1038,71840,15712,116800,7424640
1039,72384,15136,114880,7412480
1040,71936,15104,114784,7389728
1041,72256,15008,131040,7373600
1042,71680,15136,114176,7348736
1043,71232,15616,121696,7334400
1044,72416,14880,130048,7322464
1045,71712,15072,124832,7308704
1046,71360,14912,128512,7293792
1047,72448,15232,126080,7504864
1048,70912,15040,115104,7272032
1049,71104,14944,124352,7281184
1050,71424,14944,114144,7285568
1051,71360,16672,114272,7279936
1052,72000,14848,115456,7281824
1053,71840,15136,118272,7497568
1054,72224,14944,130592,7325376
1055,71904,14912,129792,7325184
1056,72256,16032,114560,7224960
1057,71776,14944,125888,7367104
1058,71584,15040,123168,7368160
1059,72288,15040,115104,7410400
1060,71168,15072,113504,7417888
1061,71456,15136,113120,7427648
1062,72288,15328,120992,7423456
1063,71840,14976,115168,7641120
1064,72128,15040,122720,7432576
1065,71968,15104,113472,7433088
1066,71968,14912,114464,7439040
1067,71424,15232,116864,7640000
1068,71072,14816,130208,7431392
1069,71296,15392,126880,7434432
1070,71328,14976,120800,7332288
1071,71456,16896,115392,7640864
1072,72288,15136,114944,7633728
1073,72096,14912,113088,7446976
1074,71776,14880,114560,7643872
1075,71968,15264,129248,7629856
1076,71008,16032,115968,7431776
1077,71264,15072,114560,7439648
1078,71424,14752,116320,7644544
1079,70816,17184,131488,7429248
1080,72320,15104,113696,7433632
1081,71168,16704,118048,7432800
1082,72352,14944,114784,7426304
1083,71936,15072,115744,7434080
1084,72448,14816,114880,7637888
1085,71200,15104,116480,7423232
1086,71648,14752,115584,7414976
1087,72352,14816,128608,7416352
1088,71104,15168,126816,7433664
1089,71328,14880,116224,7427232
1090,71712,14976,132512,7434720
1091,72032,14880,131968,7444576
1092,71744,14816,134016,7637280
1093,71424,15360,129120,7632800
1094,71968,16800,120864,7425280
1095,71936,14816,114656,7434624
1096,71808,14848,115392,7433856
1097,71808,15584,112928,7330112
1098,72224,14752,129600,7425376
1099,72096,14976,116896,7429568
1100,71456,15360,130368,7438400
1101,72192,14816,114880,7638656
1102,72384,14944,113568,7422176
1103,72448,17312,131200,7637408
1104,71776,15040,128000,7658016
1105,72288,15808,130496,7429248
1106,71328,14752,122816,7636864
